wishes, होगी,
750 बढ़ाकर
Nand नंदकिशोर
kishore नंदकिशोर
15-20%. 15-20
capita व्यक्‍ति
bio-technology जैव-प्रौद्योगिकी
Stri बाला
climate मौसम
Y.P.S वाई०पी०एस०
benefiting पहुंचाने
Khan. दारोमदार
grasses निकम्मी
bear सहन
Om ओम
2006. 2006
devilish तामसी
decreasing रही
17 17-
climate. मौसम
2006 2006
Future वायदा
acquainted अवगत
weather मौसम
futures वायदा
promoted, अमीरी
access पहुंच
dedication समर्पण
weather. मौसम
labor-opposition मजदूर-विरोध
plans योजनाओं
moment, पल,
vendors ठेलेवालों
cattle पशुधन
produced अकेले
replanting भूस्तारियों
bhustaariyan भूस्तारियों
Y. वाई०पी०एस०
wind वायु
advantage उठाये
storage स्टोरेज
mood. मुड़
power शक्‍ति
Saroja सरोजा
evergreen सदाबहार
Collecting तालाब
countries राष्‍ट्रों
irrigated. भरकर
embody मूर्त
livestock पशुधन
(1939 'पुकार'
Heartless. हार्टलैस
Pantahagar 'नैनीताल
well-founded इंतजाम
breads रोटियां
schemes योजनाओं
removing साफ
Sure जरूर
comparative तुलनात्मक
(sister कदापि
problems कठिनाई
fertility शक्‍ति
medicines, प्रभाव,
leads प्रमुखता
ideals आदर्श
centers, केन्द्रों,
truth, सच,
Gulabo गुलाबो!
misconception. वहम
also? फिर
runners भूस्तारियों
season. मौसम
schemes. योजनाओं
account अकाउंट
can सकता
strength शक्‍ति
of. प्रमुखता
contribute पशुधन
preference प्रमुखता
broadcast समाचार-पत्रों
majority प्रमुखता
wins निवासी
clean साफ
Bees मधुमक्खियां
possible सकता
Prem, प्रेम!
attempted सीटों
reach. पहुंच
tolerate सहन
Thursday. (सीसीईए)
survival. जीवन-निर्वाहन
could सकता
established सुस्थापित
Everyday घटनाएं
Atmospheric आर्द्रता,
lands. लाभान्वित
No, न,
Kolekar कोलेकर
trimmed कटे
orphan अनाथ
showers रही
leader नेता
frontal झुल
girl's बदहाल
ester इस्टर
ester. इस्टर
men पुरुषों
concerned प्रश्‍न
shouldn't जुर्रत
America अमरीका
Parker(Royal (रॉयल
sit? बिठाना
regulation विनियम
delicacy बहुतायात
may सकता
developing उन्‍नतशील
competition प्रतियोगिता
rites-rituals रस्म-रिवाजों
drought. सहन
initially पुरुषों
stores. स्टोरेज
stores स्टोरेज
20-24 20-24
confluence हाऊस
clean. साफ
Mahabaleshwar महाबलेश्वर
portent घटनाएं
staffs कर्मचारियों
culturally संस्कृतिचेता
leaders नेता
constantly स्टोरेज
rooted. जड़े
Plum बेर
plum बेर
finished. खत्म
Yashwant यशवंत
sahab. साहबज़ादी
trimming अवलम्बी
swelling फूलना,
kids. रखते।
Malari मलारी
accept. स्वीकार
extent हद
3.35 3.35
Lassi, कोड़ी
benefited लाभान्वित
cleaned साफ
composed रचा।
nursery's नर्सरियों
alone अकेले
group. अकेले
began शुरुआत
fungus फफूँदी
commodity पण्य
you आप
question प्रश्‍न
licentious? वहशी?
clearly साफ
valour. नमन
extent. हद
boy, बॉय!
staying. हाऊस
December दिसम्बर
Bio-technology जैव-प्रौद्योगिकी
eligible पहुंच
locked आँखें
busted. पर्दाफाश
fitted युक्त
cameras युक्त
Hindeshia हिन्देशिया
Grasshopper, टिड्डी,
speculation देशव्यापी
eggs अण्डों
experiencing कठिनाई
eggs. अण्डों
egg अण्डों
meaning. अर्थ
Aadab, आदाब!
begins शुरुआत
spend बिताना
Adab, आदाब!
detached कटे
Pits अवलम्बी
livestock. पशुधन
Jassi पाजी
NDC एनडीसी)
dawan अमरीका
ending खत्म
initiate शुरुआत
finish खत्म
cake. केक
Kaidi कैदी
staff स्टाफ
shed बहाया
consideration प्रार्थना-पत्र
120 120
periods. फफूँदी
Powder फफूँदी
train गड्डी
damaging पहुंचाने
Kurkure, अफ्जा
alone. अकेले
factors. कारक
orphaned. अनाथ
patriot, देशभक्‍त,
nailing कसते
shoot, चेक
cheering प्रेशर
beneficial लाभकारी
A.C.F. ए.सी.एफ)
system पद्धति
achievement. उपलब्धि
comic-satire. छोंक
Despite अलावा
difficulty. कठिनाई
Apart अलावा
apart अलावा
Dinello, डिनेलो,
egelol एगेलौल
agent कारक
to करने
methods पद्धति
shortfall आच्छादन
Other अलावा
Livestock पशुधन
Drying विग्लन
factor कारक
doing करने
unproductive अनुत्पादक
575 सत
filled. भरना
profitable लाभकारी
fate किस्मत
massaged मले
Ownership पशुधन
You आप
recycling परकोलेटर
onions प्याज
caterpillars पत्‍तियाँ
Kolhapur. अधिग्रहण
beneficial. लाभकारी
Ways तौर-तरीक़े
using करने
sickle. हंसिया
hold रखती।
raining, बरसने
citizen नागरिक
onion प्याज
employed तौर-तरीक़े
nurtured सकता
Bismilla बिस्मिल्ला!
000 300000
plums बेर
Bhanda भांडा),
communicable संक्रामक
method. पद्धति
method पद्धति
tiddi टिड्डियों
tiddis टिड्डियों
determined. अपनाएगा
qualities. बिकता
concerned, प्रश्‍न
sayings बातें,
Student स्टूडेंट
finals पहुँची।
is है?
onion. प्याज
Hindi हिन्दी
onion's प्याज
Your प्लांट्स
worsening बिगड़ती
agriculture, कृषि,
Rupees99.11 99.11
you है?
Patanga पतंगा
bold. जुर्रत
Hong-Kong व्यवस्थापन
cereals. खाद्यान्नों
2003-04 2003-04
Growing पेड़-पौधों
time? दरिद्र
success, कहेंगे?
sanctioning स्वीकृति
dare जुर्रत
civil नागरिक
called, खींचा
solubility घुलनशीलता
1916-17 1916-17
Colony उपनिवेश'
practice प्रेक्टिस
Moushumi चटर्जी
Chatterjee चटर्जी
South दक्षिणी
commendable. काबिले
southern दक्षिणी
south दक्षिणी
North दक्षिणी
cake, केक,
? है?
CSH-1 सी.एस.एच.-1
Darling पराग्वे
sickle हंसिया
100 सौ
NARS. एनएआरएस
NARS एनएआरएस
pieces टुकड़े
hundred सौ
ignorant करने
Yielding सी.एस.एच.-1
yields मिलता
factor. कारक
gives मिलता
- कृषि-दूसरी
permission? इजाजत
Hong हांगकांग
card. कार्ड
automatically. खूद-ब-खूद
owners. वृति
Is है?
Transportation द्वीपसमूह
mud. सदृश
agriculture कृषि-दूसरी
lonely? अकेले
Pearl बेला:
Vidarbha विदर्भ
vidarbha. विदर्भ
lucky 'खुशकिस्मत
second कृषि-दूसरी
2008-09 2008-09
student. स्टूडेंट
created ईंट
; पद्धतियाँ
Money बरसने
Yamuna युमना
Sompal. सोमपाल
Beside अलावा
patient मरीज
recognized, बहाया
obtained मिलता
curling छोटापन-मुड़ापन
Studio. रंजीत
jha झा
Jha's झा
biscuit बिस्कुट
522 522
roughly मिलता
spend. करने
unemployeds. सहारा।
Khan, खान,
interaction अंतर्संबंध
turkey मलयेशिया
Suman? बिटिया
694.07 694-07
coffee, काफी,
khans. 'खुशकिस्मत
right? न?
right, न?
distributor वितरक
promoted. मिलता
auphysinal आफिसिनेल
haven't न?
honest अभिव्यक्ति
tomatoes. अलावा
Use गोबर
contagious संक्रामक
1959. (1959)
curing करने
Card कार्ड
maintaining उर्वरकता
According मुताबिक
Mahal 'महल'
notching. साधना
estate इस्टेट
reading पढ़ाई,
school. इस्टेट
Lessi लेस्सी
rust 'हरदे'
farming, कृषि,
Step बढ़ो
forward, बढ़ो
IT आईटी
affairs मामलों
YOu आप
villagers जरूरतें
caves? पत्थरों
debts ऋणों
rosewood. शीशम
dink डिकंट्रोल
cow गोबर
dung गोबर
secretory सचिव
The इसका
communist साम्यवादी
king, तहखाने
card कार्ड
its इसका
practices पद्धतियाँ
It इसका
heartless तहखाने
date तारीख
This इसका
leftist वामपंथी
1.028 घन्तत्व
crying, ए,
communist वामपंथी
inauguration उद्घाटन
5.71% 5.71
? मुझसे?
family परिवार
Its इसका
Paris. शुरुआत
Phalke. फाल्के।
yields इसका
depreciation उर्वरकता
sprouting अंकुर
burst जीनेब
1993 परिवार
inventions आविष्कारों
cases मामलों
consumption उपभोग
consumed उपभोग
secretary सचिव
fate. किस्मत
vaporizing वाष्पशील
vaporized वाष्पशील
Their इसका
tap नल
horrific तूफान
2008 2008
Ayan अयान
dung. गोबर
chilly पाला
extreme पाला
Extreme पाला
worms कीड़े
matters. मामलों
matters मामलों
upbringing. शर्त्ते
performers समूहबद्ध
sorry, सॉरी,
logistics लाजिस्टिक
victims वृति
moneylenders. वृति
Purple परपिल
Kismat. किस्मत
novel-emperor. 'उपन्यास-सम्राट'
blue. नीला
me? बुलाया।
loans ऋणों
Andhra आन्ध्र
Fruit खाद्यान्नों
Yusuf यूसुफ़
repayment ऋणों
TCD टीसीडी
sugar. ऊंची
protest चौधरी
expressed. व्यक्‍त
Nautiyal नौटियाल
non-timber इमारती
family. परिवार
debenture. बढ़ोतरी
result, खाद्यान्नों
bricks ईंट
island द्वीपसमूह
elements तत्व
stagnates जल-जमाव
different अलग
volatile वाष्पशील
Sometimes मामलों
cases. मामलों
24 24
agreed मंजूरी
Jagannath जगन्नाथ,
remember? जगन्नाथ,
elements. तत्व
biscuits, बिस्कुट
element तत्व
Grand छुपाके
Bush बुश
insulted, ज़लील
Ihave धनुष
tons, गोबर
sowing बुआई
Submerged जलमग्न
Laos लाओस
Udayshankar उदयशंकर
name? है?
that? है?
Watering 24
truth? है?
mats चटाइयों
amino अमीनों
Cow गोबर
want? है?
sister-in-law, परजाई
satisfaction व्यक्‍त
grows उगती
scheme, 2008
2008. 2008
1999 पाठ्‍यक्रम
section सेक्शन
separate अलग
cold. पाला
various विभिन्न
Taking इसका
practiced प्रेक्टिस
killed? मारे
masses. (जनता)
full श्रमयुक्‍त
However फलोत्पादन
Nourishment:- पोषण:-
meet, मिलाना
Crop अलग
5.7 5.7
fetching मुद्रादायिनी
propagated. देवनागरी
different विभिन्न
it's इसका
Various विभिन्न
sow बुआई
It's इसका
Hairan हैरान
Bandook 'बंदूक'
that वो
entrance एट्रेंस
tricoderma ट्राइकोडर्मा
frost पाला
dubbed डब
marry. शादियां
He वो
maintains तथ
stations बिजलीघरों
superhit सुपरहिट
responsibility जिम्मेदारी
he वो
That वो
mashed घुट
misuse दुरुपयोग
114 114
acrobat नट
They वो
separated अलग
24-25. परमिशन
18- 12.6
profitable मुद्रादायिनी
assured. साम्यता
removed अलग
concepts अवधारणाओं
expects वीं
urea. ऊंची
element. तत्व
customs. साधना
WR Grace
Extremely पाला
reason? है?
worlds, जहान
chemical रसायनिक
Next सोचा?
ambrit एम्ब्रीट
Belgium बेल्जियम
stoving. stoving
happening? है?
motor मोटर
madam साहिबा!
35,650 35,650
whichever वो
From आदिकाल
mildew किण्वन
fragrant पुष्पों
nutrient तत्व
sowing. बुआई
appreciated पुष्पों
moist, दोमट,
Several फाइकस
sahiba, साहिबा!
Neela नीला
abduct भगाकर
Sahab's मकान
interest स्वार्थ
71,300 71,300
1959 1959
chevron, शहतीर,
Bindiya वर्ल्डचैम्पियनशिप
17.5 17.5
interest. स्वार्थ
championship. वर्ल्डचैम्पियनशिप
nutrient. तत्व
strained छानकर
install लगवाना
happened, दूरदराज
huddle झुंड
Shantaram. वी
Saraswati सरस्वती
car. मोटर
timing बुआई
89 89
700 700
again, उठे।
. साहिबा!
marriages. शादियां
car गाड़ी
Farming खेसारी
mechanical यान्त्रिक
Ankur 'अंकुर'
fence बाड़
me? मुझसे?
issues. शुल्क,
encourage प्रोत्साहित
encouraging प्रोत्साहित
belly करो
catch अलग
regularly नित्य
alfalfa. एल्फाफा
encouraged प्रोत्साहित
RJP राजद
ego अहं
Kalicutt. कालीकट
gas गैस
Sahiba साहिबा!
Indore इन्दौर
Inu ईनु!
complex कांप्लेक्स
five-year वीं
Multi बहु
warm गरम
Gets बुआई
dangerous घातक
stability सततता
know जानते
Its अजी
pressing. दबाते
startled अंग्रेज़ी
The है।
half आधे
is है।
prayer पूजन
Elder भैया,
a है।
it है।
substance निकटतम
Swamijee, स्वामीजी!
has है।
there है।
advancing हैरान
bones हड्‍डियाँ
SwamiJee, स्वामीजी!
jute, जूट,
multilateral बहुपक्षीय
Nand नन्द
banks बैंक
bank बैंक
Idols मुजस्मे
June 28-30
presence मौजूदगी
conservative रूढ़ियों
648 648
contract कॉन्ट्रैक्ट
Preity प्रीति
Bemetara ब्लॉक
encouraged. प्रोत्साहित
primitive आदिकाल
more कहीं
meez मीज
knowing जानते
qazi काज़ी
much कहीं
Renaissance नवजागरण
she वो
123.90 1,086
some कहीं
regular नित्य
Viceroy वायसराय
father. चलतीं।
ketone कीटोन
destructer. डिस्ट्‍क्टर
banking बैंक
holdings जोतें
Grass खेसारी
language, भाषा,
3287.3 3287.3
24th 24
Katrina कट्रीना
Kaif कट्रीना
nature प्रकृति
word, बोलूंगा,
Kashmir कश्मीर
Response मौजूदगी
eminent गणमान्य
domesticity पारिवारिकता
M.G.R. एम.जी.आर.
ailment डेंगू
fills भरता
specialism. विशिष्टकरण
1937 1937
Bank बैंक
tight करारा
break टूट
crime क्राइम
shape आकार
1-4 जोतें
control, नियंत्रण,
GM जीएम
Thought सोचा?
GM. जीएम
bedsheet. चादर
anger. रोष
Siddharth सिद्धार्थ
nature. प्रकृति
parliamentarian झाविमो
fails अक्षम
only ही
Kashmir. कश्मीर
size आकार
Nature प्रकृति
lowest निम्नताप
temperatures. निम्नताप
emasculated बधिया
anywhere कहीं
behaved बेगैरत
influences भाषा,
norm कायदे
metre. 700
holds रुकता
foot फुट
length. फुट
ever कहीं
plantation रोपने
28-30 28-30
that. उनसे।
feet फुट
Also ही
poor निर्धन
sweet मीठी
poor. निर्धन
rope, रस्से
America, दिये?
Java जावा
1937, 1937
deliveries सट्‍टे
non-existent. सट्‍टे
talikng प्रखात
Efforts प्रयत्‍न
provided कराई
cinnamon दालचीनी
She वो
career, वो
vegetables. शाक-भाजी
single ही
capitalist-socialist पूँजीवादी-साम्राज्यवादी
only. ही
Musical संगीतमय
county. ही
Basically, बेसिकली,
terminal. टर्मिनल
Mansarovar. संगृहीत
bit. टीचर्स
terminal टर्मिनल
motivation-center प्रेरणा-केन्द्र
styles पाश्चात्य
lenders महाजनों
exists. महाजनों
Morocco मोरक्को
Deputy डालमिया
stalls, स्टालों
forming बनने
recommendations सिफारिशें
godawns गांव-गांव
pains जख़्म
designer. फेवरिट
somewhere कहीं
Mustari मूस्तारी
cinnamon. दालचीनी
Grinding दालचीनी
droplet बूंद
concludes निकला
1895 1895
fibrous रेशेयुक्त
Celsius. सेल्सीयस
realities. सच्‍चाइयों
because कारण
why कारण
effective कारगर
car. गाड़ी
car, गाड़ी
Because कारण
nodes पर्वसंधियों
rivers कछार
Cars गाड़िया
Rajpoot राजपूत
rajpoot राजपूत
rajpoot. राजपूत
trapped कैद
15-30 सें.30°
disease:- रोगमुक्त
1898 1898
accused दोषी
quality गुणवत्ता
tunes. सुरों
plowes, जोतें
tolerate उनसे।
recommendations. सिफारिशें
aroma, (आकार)
due कारण
becomes जागृत
reason कारण
Greet तस्लीम
fallow परती
Tasalim तस्लीम
spend. दिए
behind कारण
heated ऊष्मित
Shyama श्यामा:
community समुदाय
Chaitra, चैत्र
reasons कारण
hockey. चकला-बेलन
vailis क्वेनजेन
Raja अजी
Dholi ढोली
22nd वीं
explained स्पष्‍टीकरण
Due कारण
energizes छेदों
glamour ग्लैमर
shaped आकार
Oh अजी
plants. वनस्पतियों
uncropped परती
Yavanas मध्यकाल
equal बराबर
samwat 1918)
ringworm दाद
hidden छिपे
contradictions. अन्तर्विरोधों
Parmeshwar परमेश्वर
Morocco. मोरक्को
glamor ग्लैमर
religious धार्मिक
Imraan, इमरान!
new नवीन
mansion लाइटें
fertilizer बराबर
think, सोचती
deal. घाटे
Urmila उर्मिला
Irwin इरविन
chaitra. चैत्र
nature, प्रकृति
Majumdar मजूमदार
M.P. एम.पी.
repaired. लाइटें
-RRB- )
cm, 200-250
P पी
equality समता
wake जगाएंगे।
fish मछ्लीपालन
quality. गुणवत्ता
afisinel. जिन्जीबर
Efficiency दक्षता,
procreation आण्विक
Pranab प्रणब
barter घाटे
Agra. भाईजान
floods. नवीन
Are कहीं
environment! वातावरण!
community. समुदाय
foot. फुट
Mother मम्मी
dakar डाकर
grains अनाजों
somewhere. कहीं
subjects विषयों
mention एन्युअल
unable असमर्थ
lawyer वकील
bowed झुका
first जलाकर
dinner. भिजवा
shades शेड
semi-shade. शेड
negligible. बराबर
taste. मीठी
Though यों
proven बूंद
pond पालन,वानिकी
Arabic, उर्ससमन
drop बूंद
kinds- सरकार,
that. यों
pinus पाइनस
Nation's राष्‍ट्रपिता
implemented. जायेगी।
indifference उर्मिला
furious. 'सुण्डा'
passionate जुनूनी
demeanor आमने-सामने।
brought लाकर
burnt जलाकर
classified. वनस्पतियों
active. जागृत
I, जानते
Road आइलैंड
relieves बुखार
Charlie चार्ली
shed. शेड
much? डरते
arable योग्य
bringing लाकर
suitable योग्य
Children दिए
productions दुगुनी
drops बूंद
categories श्रेणियां
Finally फाइनली
rearing. मछ्लीपालन
subsequent अनन्तर
leave यों
biggest बड़ा
costumes कॉस्ट्‍यूम
Remote सुदूर
Pankaj पंकज
remote सुदूर
aril एरिल
precious अनमोल
investigating छान-बीन
1980. 1980
important. सूचनाएं
investigation. छान-बीन
malabar मालाबार
countrywide. दिए
get. हमे
burnt. जलाकर
on. बुखार
able योग्य
fever बुखार
enable असमर्थ
doctor अस्पताल
registers रजिस्टरों
Gardens उद्यानों
Decision मंत्रिमंडल
cabinet. मंत्रिमंडल
Dharmveer धर्मवीर
Reform-able योग्य
being. हूं,
University's प्राध्यापिका
17.6 17.6
intermediaries बिचौलिये
praise दाद
that कि
cold जुकाम
Shimla. पहुंचाते।
Shyam श्याम
arable. योग्य
Tripura. त्रिपुरा
System- प्रथा-
Shyamghata. श्याम
plant कि
Malabar. मालाबार
element. डाला,
doubled. दुगुनी
language, लोकभाषा,
unifying जीवन-सापेक्ष
124 124
Chattisgarh छत्तीसगढ़
associates उतार-चढ़ावों
Mummy मम्मी
Brajbhasha परिनिष्ठ
exportable योग्य
burning जलाकर
,2010. 9,
brokers बिचौलिये
disappeared बिचौलिये
topics विषयों
hairs फेरा
Priyanka's' 'सिंगल'
pregnant गर्भित
gambling. करती।
Unfortunately दुर्भाग्य
hospital. अस्पताल
hospital अस्पताल
approved अनुमोदन
kiosks किऑस्क
Balachia बालाचिया
102.1 1980-81
work. कर्म
disregarded अवहेलना
root. पकड़
Listen, सुन,
two? सुन,
freshness. ताजगी
1962 1962
Karma. सत्कर्म
rarely गुनगुनाते
Listen सुन,
ordinance, अध्यादेश
tuition ट्यूशन
fulfilled. बढ़
Prabhat प्रभात
beauty सौंदर्य
captivity. कैद
64 64
high उन्नत
grow, उगे,
hold पकड़
advanced उन्नत
increases बढ़
quality उन्नत
Shakuni पासा
mama, पासा
about बारे
tastes माएं
finely छीलकर
evening शाम
regarding बारे
prizes पुरस्कार-सम्मान
microbiology माइक्रोबायोलाजी
failure असफलता
feet फीट
patriotism देशभक्ति
winters पाले
MANREGA मनरेगा
Mansingh मानसिंह
O ऐ
sorry सोरी
destroys पहुंचाता
Rs/kg. रू.
grains, अनाजों
Shayam श्याम
neo-liberal उदारवादी
written लिखी
1980 1980
you तुम
Bharatnatyam भरत
stated आत्माराम
Vasantsena वसंतसेना
increases. बढ़
purple बैंगनी
couldn't सके?
features. जलवायुविक
describe सौंदर्य
work, दिया,
does खबर
ae ऐ
Artists परदे
composition. कृति
cabinet मंत्रिमंडल
prisoned कैद
boy. सुनाऊंगा,
harm पहुंचाता
reformed उन्नत
clamp जकड़ा
cared पाले
impact प्रभाव
frost पाले
Gazipur गाज़ीपुर
plague प्लेग
effect प्रभाव
meaningless. निरर्थक
tiles खपरैल
Buddha, बुद्धा,
Work कर्म
settled निबटान
O, ऐ
1918) कांग्रेस)
frost. पाले
erase मिटाना
list लिस्ट
adversities. बीते।
Regarding बारे
patriotism. देशभक्ति
travelling घुमक्कड़ी
sending भेजकर
extended विस्तार
investors निवेशकों
talented प्रतिभाशाली
formula, अनमोल
screen, परदे
grown उगाई
Acharya आचार्य
passage सौंदर्य
1948. 'आग'
Last बीते
expansion विस्तार
Shukla. शुक्‍ला
grown. उगाई
flow बहना
mataki. मटकी
searching ढूँढ़
but. दूँगा,
Ideally यों
Could फ्लेश
negotiating परक्राम्यता
Eighth अष्‍टम
Large दीर्घाकृति
evening. शाम
turmeric, रक्‍त
worth, मोल
ot ताजपोशी
vermi-compost. Vermi-Compost
94.6 94.6
autoclave ऑटोक्लेव
increased बढ़ोतरी
hectare हैक्टेयर
do, बिजी
elevated उन्नत
extension विस्तार
chimozalin चयमाजेलिन
lovers शौकीन
Ek 'एक
virus, वाइरस,
recommended अनुशंसित
family जातीय
advance उन्नत
half आधी
declared छानबीन
application विनियोग
Victoria विक्टोरिया
expanded विस्तार
notch निरर्थक
wandering घुमक्कड़ी
Wandering घुमक्कड़ी
gap सेंटीमीटर
force जान!
aloe हरड़,
oil बिनौले
changing बदलने
world संसार
blood? सैलाब
news खबर
hydrocysis हाइड्रोसाइसिस
You तुम
centimeter सेंटीमीटर
ourselves. स्वंय
change. बदलने
want चाहो
world. संसार
Mohandas बीएएलएलबी,
Thekedar बीएएलएलबी,
frost, पाले
stable. सकेगी।
3-4feets. फीट
seconds चलाया।
go? जाऊँ?
MANREGA. मनरेगा
multi-ethnic जातीय
preceptor आचार्य
Benson बेंसन
world's संसार
violet. बैंगनी
decided अतिशीघ्र
Nowhere संसार
produces संसार
Experts छानबीन
sultanpur सुल्तानपुर
bachelor बैचलर
progeny संतान
chain विक्रय
slave, मोहताज
tunnel, टनल
1988 'सत्या'
See देखो,
gained विक्रय
plantation वृक्षारोपण
Liberal उदारवादी
balcony बालकनी
liberalism, उदारवादी
World वर्ल्ड
ripen, सूखाते
ignored. वास्ता
sheep, पशुओं,
Commander कमांडर
small छोटा
feet. फीट
enhancement बढ़ोतरी
tall. फीट
consume राजा-महाराजा
important प्रमुख
pictures उपन्यासों
standardized. मानकीकृत
primarily प्रमुख
Bhawanishankar. भवानीशंकर।
times बार
major प्रमुख
revolutionary क्रांतिकारी
time बार
withdrawal खींच
holding. हैक्टेयर
emerged अभ्युदय
brilliant प्रतिभाशाली
ratanjot(Jaitropa रतनजोत
initiation कर्म
Salimuddin सलीमुद्दीन
Advanced उन्नत
prominent. प्रमुख
serene स्पिनिंग
greatly. बदलने
much कमरें
top प्रमुख
relationship. स्वंय
traveling, शास्त्र'
surrounded घेर
convert बदलने
main प्रमुख
Hundreds सहस्त्रों
Jee? जाऊँ?
times. बार
father, जान!
niece भतीजी
niece. भतीजी
Look, देखो,
love! जान!
time. बार
synthesizing केवार
See, देखो,
1. बढ़ोतरी
scheme स्कीम
seen. बढ़ोतरी
sunda. सुन्डा
you. तुम
Azam आजम
ranks भारत्
once बार
hector. हैक्टेयर
hector हैक्टेयर
leading प्रमुख
small. छोटा
leads प्रमुख
Insofar मास-उत्पादन
stanley स्टेनली
how कमरें
awake? जाग
cash-and-carry होलसेल
population जनसंख्या
various अनेक
Once बार
University विश्‍वविद्यालय
university विश्‍वविद्यालय
university. विश्‍वविद्यालय
centered केन्दित
6-8 6.0
arrangement कमरें
Kundan सिविल
red लाल
Imran इमरान
many अनेक
grown, उगाई
Bharatpur भरतपुर
Imran. इमरान
1, 1.
population. जनसंख्या
Half आधी
Mahabharat महाभारत'
Many अनेक
disclosed, खुले,
bare नग्‍न
Kalapagoniyum कालापागोनियम
Pora पोरा
terrorists टेररिस्ट
wells कुओं
geographical भौगोलिक
category वर्गीकरण
Wells कुओं
wells. कुओं
Kannada कन्नड़
While जहां
classification वर्गीकरण
Till जहां
dictats. नाचती
businessman. बिजनसमैन
independence. अनेक
kinds. बिनौले
searched तलाश
flesh, मांस,
great महान
where जहां
Kesari केसरी
brown भूरा
January-February. (जनवरी-फरवरी)
1962-63 विश्‍वविद्यालय
herbs जड़ी-बूटियों
University. विश्‍वविद्यालय
1.08 1.08
enraptured. भावविभोर
Where जहां
idea. जच
far जहां
satires किए।
classified. वर्गीकरण
S-3839 एस-79,एस-3839,
institutes पिथौरागढ़
Pithoragarh पिथौरागढ़
several अनेक
multiple अनेक
win हारो
worker. सेक्स
2020 2020
Pelindulai पेलिन्डुलाई
physical भौगोलिक
anybody. कहेगा।
1961-1966, 1961-1966
Kaitrina कैटरीना
Especially फल-सब्जियों
skinning छिलका
skin, छिलका
ships. जहाजों
2.45 2.45%
expectation. आशानुरूप
Red लाल
Away अलग,
leaves पत्ती
rest. थकी
herbs. जड़ी-बूटियों
Several अनेक
Excluding जड़ी-बूटियों
Ramcharan रामचरणदास
police. खबर
dyslexic डिस्लेक्सिक
leaf पत्ती
kings राजा-महाराजा
geographic भौगोलिक
clothes वस्‍त्र
CSB-7 सी.एस.बी.-7
developed विकसित
developed. विकसित
Digging कुओं
brown. भूरा
tackling निपटने
blind's संतान
authorities अथॉरिटी
tissues, उत्तकों
Shimla शिमला
in-vitro इन-विट्रो
tobacco. तम्बाकू।
interrelationships सुविधापूर्वक
soon जल्द
mature विकसित
fine? अच्छी-भली
spraying छिड़काव
scheme. स्कीम
260 260
paintings तैल
time, बार
Jaitley जेटली
farce. तमाशा
farce, तमाशा
crap? तमाशा
districts जिलों
settle निपटने
knigdoms रियासतों
much. लगीं
grow जल्द
soon. जल्द
sprinkling छिड़काव
Very जल्द
developing विकसित
develop विकसित
poor. रोजगारी
kangayam, कंगायम,
pouch पुरिया
Shanta शांता
red. लाल
5,75,000 75,
bone हड्डी
sown बोया
twice दुगने
two-three दो-तीन
read पढ़ना
Thus, कमरें
Genetically मॉडिफाइड
spray छिड़काव
Spraying छिड़काव
necessity प्रतीत
conservative रूढ़िवादी
Modern शिक्षा,
2002 2002
dreams ख्वाब
colors. रंगों
feel प्रतीत
Abhudaya. अभ्युदय
Lahore लाहौर
Doctor डॉक्टर
Ocean महासागर
know जानत
Seminar, किसान-मजदूर
Sholay `शोले'
kunjan यमुना
follows. निम्नवत
Search तलाश
novels उपन्यासों
granted. मंजुरी
rumors कयास
noteworthy. प्रमुख
pity रहम
join ज्वॉइन
Talaash तलाश
variety. बढ़ने
servants, होंगे?
project प्रोजेक्‍ट
Zone-4, जोन-IV,
merciless कंपिटेंट
Pakistan पाकिस्तान
Agricultural-scientists कृषि-वैज्ञानिक
suffocating. अफसरों
temperature ताप
Pacific महासागर
internet-mobile इंटरनेट-मोबाइल
commendable. तारीफ
gravels पथरीलेपन
finest भगवा)
Bhagwa भगवा)
Pakistan. पाकिस्तान
leaf. पत्ती
interim अंतरिम
adopted अपनाये
building. मिलाते
there कुछ
Jambai. हल्दी-रोली
prison. ग़र्क
thousand हज़ार
few कुछ
Alfanso अल्फांसो
Phool 'वक्त',
functions. घनिष्ठ
leaf-spot पत्ती
deep गहराई
warehouse मालगोदाम
options विकल्पों
Test परखिये
some कुछ
layer भित्ति
Few कुछ
Plains प्लेन्स
forest, बनस्पति,
rotting खलिहानों
theatre थियेटर
Coronation थियेटर
multilingual बहुभाषाविद
Mango आम,
depth गहराई
sown. बोया
Some कुछ
food, भोजन,
fiber, भोजन,
Roy, रॉय
Kapoor, रॉय
Warsi वारसी
areas भागों
charming मनोरम
weather. बर्दाश्त
little कुछ
24-28 24-28
mad! हैं!
hari-chari चरी
hemisphere. गोलार्द्ध
processes. क्रियाओं
units इकाइयों
sectioned खण्डों-वाली
colors रंगों
litterateur पढ़ना
area भागों
sowed बोया
mediums संचार
meaningful जीना।
parts भागों
PH पी०एच०
places भागों
Education, शिक्षा,
Mala क्वीनः
famine अकाल
buildings इमारतों
Rajkamal. राजकमल
Taran तरण
processing, प्रसंस्करण,
education, शिक्षा,
120.12 120.12
parts. भागों
accumulation. जमाव
certain अमुक
wait. आयेंगे,
motasistoks मोटासिस्टाक्स
tribals आदिवासियों
pre-communication बाधाएं
hour घंटा
9.48 9.48
